properties/label_type,properties/severity,GEN_ALIAS
NoCurbRamp,,North Beacon Hill/Jefferson Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,5.0,Mt. Baker/North Rainier
NoCurbRamp,3.0,Mt. Baker/North Rainier
NoCurbRamp,3.0,Mt. Baker/North Rainier
NoCurbRamp,3.0,Mt. Baker/North Rainier
NoCurbRamp,3.0,Mt. Baker/North Rainier
NoCurbRamp,3.0,Mt. Baker/North Rainier
CurbRamp,1.0,Whittier Heights
CurbRamp,1.0,Whittier Heights
CurbRamp,1.0,Ballard
CurbRamp,2.0,Fremont
CurbRamp,1.0,Whittier Heights
CurbRamp,1.0,Whittier Heights
CurbRamp,1.0,Ballard
CurbRamp,3.0,Ballard
CurbRamp,2.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,3.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,2.0,Fremont
CurbRamp,1.0,Greenwood/Phinney Ridge
CurbRamp,1.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,1.0,Whittier Heights
CurbRamp,3.0,Greenwood/Phinney Ridge
CurbRamp,2.0,Greenwood/Phinney Ridge
CurbRamp,1.0,Greenwood/Phinney Ridge
CurbRamp,1.0,Greenwood/Phinney Ridge
CurbRamp,2.0,Greenwood/Phinney Ridge
CurbRamp,1.0,Greenwood/Phinney Ridge
CurbRamp,1.0,Ballard
CurbRamp,2.0,Ballard
CurbRamp,2.0,Fremont
CurbRamp,,Whittier Heights
CurbRamp,3.0,Greenwood/Phinney Ridge
CurbRamp,1.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,1.0,Greenwood/Phinney Ridge
CurbRamp,1.0,Greenwood/Phinney Ridge
CurbRamp,3.0,Greenwood/Phinney Ridge
CurbRamp,,Greenwood/Phinney Ridge
CurbRamp,2.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,2.0,Ballard
CurbRamp,2.0,Ballard
CurbRamp,3.0,Greenwood/Phinney Ridge
CurbRamp,2.0,Greenwood/Phinney Ridge
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,3.0,Madrona/Leschi
SurfaceProblem,3.0,Madrona/Leschi
SurfaceProblem,3.0,Madrona/Leschi
SurfaceProblem,4.0,North Beacon Hill/Jefferson Park
SurfaceProblem,4.0,North Beacon Hill/Jefferson Park
SurfaceProblem,3.0,North Beacon Hill/Jefferson Park
SurfaceProblem,3.0,North Beacon Hill/Jefferson Park
SurfaceProblem,4.0,Mt. Baker/North Rainier
SurfaceProblem,3.0,Mt. Baker/North Rainier
SurfaceProblem,1.0,Mt. Baker/North Rainier
SurfaceProblem,1.0,North Beacon Hill/Jefferson Park
SurfaceProblem,,North Beacon Hill/Jefferson Park
SurfaceProblem,3.0,Mt. Baker/North Rainier
SurfaceProblem,3.0,Mt. Baker/North Rainier
SurfaceProblem,2.0,North Beacon Hill/Jefferson Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,2.0,North Beacon Hill/Jefferson Park
SurfaceProblem,2.0,North Beacon Hill/Jefferson Park
SurfaceProblem,4.0,North Beacon Hill/Jefferson Park
SurfaceProblem,2.0,North Beacon Hill/Jefferson Park
SurfaceProblem,4.0,North Beacon Hill/Jefferson Park
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,1.0,Mt. Baker/North Rainier
SurfaceProblem,4.0,Mt. Baker/North Rainier
SurfaceProblem,3.0,Mt. Baker/North Rainier
SurfaceProblem,4.0,Mt. Baker/North Rainier
SurfaceProblem,1.0,North Beacon Hill/Jefferson Park
SurfaceProblem,4.0,North Beacon Hill/Jefferson Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,1.0,Mt. Baker/North Rainier
SurfaceProblem,,Mt. Baker/North Rainier
SurfaceProblem,,North Beacon Hill/Jefferson Park
SurfaceProblem,4.0,North Beacon Hill/Jefferson Park
SurfaceProblem,1.0,Mt. Baker/North Rainier
SurfaceProblem,2.0,North Beacon Hill/Jefferson Park
SurfaceProblem,3.0,Judkins Park
SurfaceProblem,3.0,North Beacon Hill/Jefferson Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,2.0,North Beacon Hill/Jefferson Park
SurfaceProblem,4.0,North Beacon Hill/Jefferson Park
SurfaceProblem,3.0,Judkins Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,3.0,Judkins Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,2.0,Mt. Baker/North Rainier
SurfaceProblem,4.0,Mt. Baker/North Rainier
SurfaceProblem,2.0,Mt. Baker/North Rainier
SurfaceProblem,4.0,Mt. Baker/North Rainier
SurfaceProblem,2.0,Mt. Baker/North Rainier
SurfaceProblem,,Mt. Baker/North Rainier
SurfaceProblem,4.0,Mt. Baker/North Rainier
SurfaceProblem,2.0,North Beacon Hill/Jefferson Park
SurfaceProblem,4.0,North Beacon Hill/Jefferson Park
SurfaceProblem,2.0,North Beacon Hill/Jefferson Park
SurfaceProblem,2.0,North Beacon Hill/Jefferson Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,3.0,North Beacon Hill/Jefferson Park
SurfaceProblem,4.0,North Beacon Hill/Jefferson Park
SurfaceProblem,2.0,Mt. Baker/North Rainier
SurfaceProblem,4.0,Mt. Baker/North Rainier
SurfaceProblem,4.0,North Beacon Hill/Jefferson Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,4.0,Judkins Park
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,3.0,Mt. Baker/North Rainier
NoCurbRamp,3.0,Mt. Baker/North Rainier
NoCurbRamp,3.0,Mt. Baker/North Rainier
NoCurbRamp,3.0,Mt. Baker/North Rainier
NoCurbRamp,1.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,2.0,Madrona/Leschi
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,North Beacon Hill/Jefferson Park
NoCurbRamp,3.0,North Beacon Hill/Jefferson Park
NoCurbRamp,1.0,Mt. Baker/North Rainier
NoCurbRamp,5.0,Mt. Baker/North Rainier
NoCurbRamp,2.0,Judkins Park
NoCurbRamp,3.0,North Beacon Hill/Jefferson Park
NoCurbRamp,3.0,North Beacon Hill/Jefferson Park
NoCurbRamp,3.0,North Beacon Hill/Jefferson Park
NoCurbRamp,4.0,North Beacon Hill/Jefferson Park
NoCurbRamp,3.0,Mt. Baker/North Rainier
NoCurbRamp,3.0,Mt. Baker/North Rainier
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,2.0,Mt. Baker/North Rainier
SurfaceProblem,4.0,Mt. Baker/North Rainier
SurfaceProblem,2.0,Mt. Baker/North Rainier
SurfaceProblem,3.0,Mt. Baker/North Rainier
SurfaceProblem,2.0,Mt. Baker/North Rainier
SurfaceProblem,3.0,Mt. Baker/North Rainier
SurfaceProblem,4.0,North Beacon Hill/Jefferson Park
SurfaceProblem,4.0,North Beacon Hill/Jefferson Park
SurfaceProblem,4.0,North Beacon Hill/Jefferson Park
SurfaceProblem,4.0,North Beacon Hill/Jefferson Park
SurfaceProblem,4.0,Mt. Baker/North Rainier
SurfaceProblem,4.0,North Beacon Hill/Jefferson Park
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,3.0,Madrona/Leschi
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,4.0,North Beacon Hill/Jefferson Park
SurfaceProblem,3.0,North Beacon Hill/Jefferson Park
SurfaceProblem,4.0,Mt. Baker/North Rainier
SurfaceProblem,4.0,North Beacon Hill/Jefferson Park
SurfaceProblem,4.0,Mt. Baker/North Rainier
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,3.0,Judkins Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,4.0,North Beacon Hill/Jefferson Park
SurfaceProblem,4.0,Mt. Baker/North Rainier
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,4.0,Mt. Baker/North Rainier
SurfaceProblem,4.0,Mt. Baker/North Rainier
SurfaceProblem,3.0,North Beacon Hill/Jefferson Park
SurfaceProblem,4.0,Mt. Baker/North Rainier
SurfaceProblem,4.0,Mt. Baker/North Rainier
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,3.0,Madrona/Leschi
SurfaceProblem,3.0,Judkins Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,3.0,Judkins Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,3.0,Judkins Park
SurfaceProblem,3.0,Judkins Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,4.0,North Beacon Hill/Jefferson Park
SurfaceProblem,4.0,Mt. Baker/North Rainier
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,4.0,Madrona/Leschi
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,3.0,Judkins Park
SurfaceProblem,3.0,Judkins Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,4.0,Judkins Park
SurfaceProblem,3.0,Judkins Park
Obstacle,3.0,North Beacon Hill/Jefferson Park
Obstacle,4.0,North Beacon Hill/Jefferson Park
Obstacle,4.0,Madrona/Leschi
Obstacle,4.0,Judkins Park
Obstacle,,Mt. Baker/North Rainier
Obstacle,4.0,Mt. Baker/North Rainier
Obstacle,2.0,North Beacon Hill/Jefferson Park
Obstacle,,Mt. Baker/North Rainier
Obstacle,5.0,Mt. Baker/North Rainier
Obstacle,5.0,North Beacon Hill/Jefferson Park
Obstacle,2.0,North Beacon Hill/Jefferson Park
Obstacle,4.0,Mt. Baker/North Rainier
Obstacle,4.0,Mt. Baker/North Rainier
Obstacle,2.0,Mt. Baker/North Rainier
Obstacle,4.0,Judkins Park
Obstacle,4.0,North Beacon Hill/Jefferson Park
Obstacle,3.0,North Beacon Hill/Jefferson Park
Obstacle,4.0,North Beacon Hill/Jefferson Park
Obstacle,2.0,Madrona/Leschi
Obstacle,4.0,North Beacon Hill/Jefferson Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,5.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,2.0,Judkins Park
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,3.0,Mt. Baker/North Rainier
NoCurbRamp,2.0,Mt. Baker/North Rainier
NoCurbRamp,3.0,Mt. Baker/North Rainier
NoCurbRamp,4.0,Madrona/Leschi
NoCurbRamp,2.0,North Beacon Hill/Jefferson Park
NoCurbRamp,3.0,North Beacon Hill/Jefferson Park
NoCurbRamp,4.0,Mt. Baker/North Rainier
NoCurbRamp,3.0,Mt. Baker/North Rainier
NoCurbRamp,1.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,2.0,Mt. Baker/North Rainier
NoCurbRamp,3.0,North Beacon Hill/Jefferson Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,North Beacon Hill/Jefferson Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,North Beacon Hill/Jefferson Park
NoCurbRamp,3.0,North Beacon Hill/Jefferson Park
NoCurbRamp,3.0,Mt. Baker/North Rainier
NoCurbRamp,3.0,Mt. Baker/North Rainier
NoCurbRamp,4.0,Mt. Baker/North Rainier
CurbRamp,1.0,Whittier Heights
CurbRamp,2.0,Whittier Heights
CurbRamp,2.0,Whittier Heights
CurbRamp,2.0,Whittier Heights
CurbRamp,1.0,Whittier Heights
CurbRamp,3.0,Whittier Heights
CurbRamp,1.0,Whittier Heights
CurbRamp,1.0,Whittier Heights
CurbRamp,,Whittier Heights
CurbRamp,2.0,Whittier Heights
CurbRamp,1.0,Ballard
CurbRamp,2.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,,Greenwood/Phinney Ridge
CurbRamp,1.0,Whittier Heights
CurbRamp,1.0,Greenwood/Phinney Ridge
CurbRamp,3.0,Greenwood/Phinney Ridge
CurbRamp,1.0,Greenwood/Phinney Ridge
CurbRamp,2.0,Greenwood/Phinney Ridge
CurbRamp,2.0,Greenwood/Phinney Ridge
CurbRamp,1.0,Greenwood/Phinney Ridge
CurbRamp,2.0,Greenwood/Phinney Ridge
CurbRamp,2.0,Greenwood/Phinney Ridge
CurbRamp,2.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,2.0,Ballard
CurbRamp,2.0,Fremont
CurbRamp,1.0,Fremont
CurbRamp,1.0,Whittier Heights
CurbRamp,2.0,Whittier Heights
CurbRamp,2.0,Whittier Heights
CurbRamp,2.0,Whittier Heights
CurbRamp,3.0,Greenwood/Phinney Ridge
CurbRamp,2.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,2.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,1.0,Whittier Heights
CurbRamp,,Whittier Heights
CurbRamp,2.0,Whittier Heights
CurbRamp,3.0,Greenwood/Phinney Ridge
CurbRamp,1.0,Whittier Heights
CurbRamp,2.0,Ballard
CurbRamp,2.0,Ballard
CurbRamp,3.0,Fremont
CurbRamp,,Fremont
CurbRamp,3.0,Fremont
CurbRamp,1.0,Fremont
CurbRamp,1.0,Fremont
CurbRamp,1.0,Ballard
CurbRamp,1.0,Fremont
CurbRamp,3.0,Fremont
CurbRamp,1.0,Ballard
CurbRamp,1.0,Fremont
CurbRamp,2.0,Greenwood/Phinney Ridge
CurbRamp,2.0,Fremont
CurbRamp,1.0,Ballard
CurbRamp,2.0,Fremont
CurbRamp,2.0,Fremont
CurbRamp,2.0,Fremont
CurbRamp,3.0,Fremont
CurbRamp,,Greenwood/Phinney Ridge
CurbRamp,1.0,Ballard
CurbRamp,3.0,Ballard
CurbRamp,2.0,Ballard
Obstacle,3.0,Judkins Park
Obstacle,4.0,North Beacon Hill/Jefferson Park
Obstacle,4.0,Mt. Baker/North Rainier
Obstacle,2.0,North Beacon Hill/Jefferson Park
Obstacle,3.0,Madrona/Leschi
Obstacle,2.0,Madrona/Leschi
Obstacle,2.0,North Beacon Hill/Jefferson Park
Obstacle,3.0,Judkins Park
Obstacle,2.0,Judkins Park
Obstacle,3.0,Judkins Park
Obstacle,,Judkins Park
Obstacle,1.0,Madrona/Leschi
Obstacle,3.0,Mt. Baker/North Rainier
Obstacle,3.0,Madrona/Leschi
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,5.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,1.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,1.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,1.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,4.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,1.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,1.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,3.0,Mt. Baker/North Rainier
NoCurbRamp,1.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,2.0,Mt. Baker/North Rainier
NoCurbRamp,3.0,Mt. Baker/North Rainier
NoCurbRamp,2.0,Madrona/Leschi
NoCurbRamp,2.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,1.0,Mt. Baker/North Rainier
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,2.0,North Beacon Hill/Jefferson Park
NoCurbRamp,5.0,Mt. Baker/North Rainier
NoCurbRamp,3.0,Mt. Baker/North Rainier
NoCurbRamp,1.0,Madrona/Leschi
NoCurbRamp,3.0,Madrona/Leschi
NoCurbRamp,2.0,Judkins Park
NoCurbRamp,1.0,North Beacon Hill/Jefferson Park
NoCurbRamp,3.0,North Beacon Hill/Jefferson Park
NoCurbRamp,3.0,North Beacon Hill/Jefferson Park
NoCurbRamp,3.0,North Beacon Hill/Jefferson Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Mt. Baker/North Rainier
NoCurbRamp,3.0,North Beacon Hill/Jefferson Park
NoCurbRamp,3.0,Mt. Baker/North Rainier
NoCurbRamp,1.0,Mt. Baker/North Rainier
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
NoCurbRamp,3.0,Judkins Park
CurbRamp,1.0,Greenwood/Phinney Ridge
CurbRamp,,Whittier Heights
CurbRamp,2.0,Whittier Heights
CurbRamp,2.0,Whittier Heights
CurbRamp,1.0,Whittier Heights
CurbRamp,1.0,Whittier Heights
CurbRamp,2.0,Whittier Heights
CurbRamp,3.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,2.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,1.0,Fremont
CurbRamp,2.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,2.0,Ballard
CurbRamp,3.0,Greenwood/Phinney Ridge
NoCurbRamp,3.0,Mt. Baker/North Rainier
NoCurbRamp,3.0,Mt. Baker/North Rainier
NoCurbRamp,3.0,Mt. Baker/North Rainier
NoCurbRamp,2.0,Mt. Baker/North Rainier
NoCurbRamp,3.0,Mt. Baker/North Rainier
NoCurbRamp,4.0,Mt. Baker/North Rainier
NoCurbRamp,3.0,Mt. Baker/North Rainier
NoCurbRamp,3.0,North Beacon Hill/Jefferson Park
NoCurbRamp,3.0,North Beacon Hill/Jefferson Park
NoCurbRamp,3.0,Mt. Baker/North Rainier
NoCurbRamp,3.0,Mt. Baker/North Rainier
NoCurbRamp,3.0,Mt. Baker/North Rainier
NoCurbRamp,4.0,Mt. Baker/North Rainier
CurbRamp,2.0,Greenwood/Phinney Ridge
CurbRamp,1.0,Whittier Heights
CurbRamp,3.0,Whittier Heights
CurbRamp,1.0,Whittier Heights
CurbRamp,2.0,Whittier Heights
CurbRamp,1.0,Whittier Heights
CurbRamp,1.0,Whittier Heights
CurbRamp,2.0,Whittier Heights
CurbRamp,2.0,Whittier Heights
CurbRamp,2.0,Whittier Heights
CurbRamp,1.0,Whittier Heights
CurbRamp,1.0,Ballard
CurbRamp,2.0,Whittier Heights
CurbRamp,2.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,2.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,1.0,Fremont
CurbRamp,2.0,Fremont
CurbRamp,2.0,Fremont
CurbRamp,1.0,Fremont
CurbRamp,1.0,Greenwood/Phinney Ridge
CurbRamp,1.0,Whittier Heights
CurbRamp,1.0,Greenwood/Phinney Ridge
CurbRamp,3.0,Whittier Heights
CurbRamp,1.0,Whittier Heights
CurbRamp,1.0,Greenwood/Phinney Ridge
CurbRamp,1.0,Ballard
CurbRamp,2.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,1.0,Fremont
CurbRamp,2.0,Greenwood/Phinney Ridge
CurbRamp,2.0,Greenwood/Phinney Ridge
CurbRamp,2.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,3.0,Whittier Heights
CurbRamp,2.0,Greenwood/Phinney Ridge
CurbRamp,2.0,Greenwood/Phinney Ridge
CurbRamp,1.0,Greenwood/Phinney Ridge
CurbRamp,2.0,Greenwood/Phinney Ridge
CurbRamp,,Whittier Heights
CurbRamp,3.0,Whittier Heights
CurbRamp,2.0,Whittier Heights
CurbRamp,1.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,1.0,Greenwood/Phinney Ridge
CurbRamp,3.0,Greenwood/Phinney Ridge
CurbRamp,1.0,Ballard
CurbRamp,3.0,Ballard
CurbRamp,2.0,Fremont
CurbRamp,1.0,Fremont
CurbRamp,2.0,Greenwood/Phinney Ridge
CurbRamp,1.0,Greenwood/Phinney Ridge
CurbRamp,2.0,Ballard
CurbRamp,1.0,Fremont
CurbRamp,1.0,Ballard
CurbRamp,1.0,Fremont
CurbRamp,1.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,2.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,2.0,Fremont
CurbRamp,1.0,Ballard
CurbRamp,1.0,Fremont
CurbRamp,1.0,Ballard
CurbRamp,2.0,Ballard
CurbRamp,2.0,Ballard
CurbRamp,2.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,2.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,2.0,Whittier Heights
CurbRamp,1.0,Whittier Heights
CurbRamp,1.0,Greenwood/Phinney Ridge
CurbRamp,1.0,Greenwood/Phinney Ridge
CurbRamp,2.0,Fremont
CurbRamp,1.0,Fremont
CurbRamp,2.0,Fremont
CurbRamp,1.0,Fremont
CurbRamp,2.0,Fremont
CurbRamp,2.0,Ballard
CurbRamp,1.0,Ballard
CurbRamp,1.0,Whittier Heights
CurbRamp,2.0,Whittier Heights
CurbRamp,1.0,Fremont
